Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
OUT,Domestic,2024,Jun,Hail,149,16846
OUT,Domestic,2024,Jun,Jeddah,1851,292695
OUT,Domestic,2024,Jun,Jizan,328,48924
OUT,Domestic,2024,Jun,Madinah,439,55892
OUT,Domestic,2024,Jun,Najran,178,26100
OUT,Domestic,2024,Jun,NEOM,31,3246
OUT,Domestic,2024,Jun,Qassim,59,6022
OUT,Domestic,2024,Jun,Qurayyat,69,9380
OUT,Domestic,2024,Jun,Rafha,26,3262
OUT,Domestic,2024,Jun,Red Sea,19,2332
OUT,Domestic,2024,Jun,Sharurah,43,5822
OUT,Domestic,2024,Jun,Tabuk,293,38111
OUT,Domestic,2024,Jun,Taif,209,30124
OUT,Domestic,2024,Jun,Turaif,26,3336
OUT,Domestic,2024,Jun,WADI AL-DAWASER,30,3783
OUT,Domestic,2024,Jun,Yenbo,51,5212
IN,Domestic,2024,Jul,Riyadh,5446,859580
OUT,Domestic,2024,Jul,Abha,711,124263
OUT,Domestic,2024,Jul,Al-Jawf,125,15997
OUT,Domestic,2024,Jul,Al-Ula,25,2945
OUT,Domestic,2024,Jul,Arar,108,13898
OUT,Domestic,2024,Jul,Bisha,80,10576
OUT,Domestic,2024,Jul,Dammam,505,65298
OUT,Domestic,2024,Jul,Dawadmi,8,559
OUT,Domestic,2024,Jul,Al-Bahah,110,15470
OUT,Domestic,2024,Jul,Hafr Al-batin,62,8893
OUT,Domestic,2024,Jul,Hail,155,19724
OUT,Domestic,2024,Jul,Jeddah,1736,312355
OUT,Domestic,2024,Jul,Jizan,354,50209
OUT,Domestic,2024,Jul,Madinah,470,58694
OUT,Domestic,2024,Jul,Najran,186,26572
OUT,Domestic,2024,Jul,NEOM,34,3781
OUT,Domestic,2024,Jul,Qassim,62,7173
OUT,Domestic,2024,Jul,Qurayyat,70,9150
OUT,Domestic,2024,Jul,Rafha,27,3553
OUT,Domestic,2024,Jul,Red Sea,17,2101
OUT,Domestic,2024,Jul,Sharurah,44,6013
OUT,Domestic,2024,Jul,Tabuk,279,38108
OUT,Domestic,2024,Jul,Taif,209,32261
OUT,Domestic,2024,Jul,Turaif,26,3177
OUT,Domestic,2024,Jul,WADI AL-DAWASER,31,4125
OUT,Domestic,2024,Jul,Yenbo,54,5371
IN,Domestic,2024,Aug,Riyadh,5703,900070
OUT,Domestic,2024,Aug,Abha,695,94726
OUT,Domestic,2024,Aug,Al-Bahah,113,10315
OUT,Domestic,2024,Aug,Al-Jawf,145,17408
OUT,Domestic,2024,Aug,Al-Ula,27,3298
OUT,Domestic,2024,Aug,Arar,106,13956
OUT,Domestic,2024,Aug,Bisha,81,9061
OUT,Domestic,2024,Aug,Dammam,508,64752
OUT,Domestic,2024,Aug,Dawadmi,11,816
OUT,Domestic,2024,Aug,Hafr Al-batin,63,9339
OUT,Domestic,2024,Aug,Hail,156,19742
OUT,Domestic,2024,Aug,Jeddah,1810,277222
OUT,Domestic,2024,Aug,Jizan,380,49460
OUT,Domestic,2024,Aug,Madinah,486,57982
OUT,Domestic,2024,Aug,Najran,235,28255
OUT,Domestic,2024,Aug,NEOM,41,4214
OUT,Domestic,2024,Aug,Qassim,64,7168
OUT,Domestic,2024,Aug,Qurayyat,73,7658
OUT,Domestic,2024,Aug,Rafha,27,3760
OUT,Domestic,2024,Aug,Red Sea,19,2285
OUT,Domestic,2024,Aug,Sharurah,44,6432
OUT,Domestic,2024,Aug,Tabuk,329,42177
OUT,Domestic,2024,Aug,Taif,216,28797
OUT,Domestic,2024,Aug,Turaif,27,3286
OUT,Domestic,2024,Aug,WADI AL-DAWASER,32,3886
OUT,Domestic,2024,Aug,Yenbo,54,5622
IN,Domestic,2024,Sep,Riyadh,5342,784019
OUT,Domestic,2024,Sep,Abha,588,79231
OUT,Domestic,2024,Sep,Al-Bahah,60,7422
OUT,Domestic,2024,Sep,Al-Jawf,138,16256
OUT,Domestic,2024,Sep,Al-Ula,35,4893
OUT,Domestic,2024,Sep,Arar,86,11910
OUT,Domestic,2024,Sep,Bisha,74,9051
OUT,Domestic,2024,Sep,Dammam,528,64816
OUT,Domestic,2024,Sep,Dawadmi,8,630
OUT,Domestic,2024,Sep,Hafr Al-batin,60,9020
OUT,Domestic,2024,Sep,Hail,150,20462
OUT,Domestic,2024,Sep,Jeddah,1779,278710
OUT,Domestic,2024,Sep,Jizan,368,46518
OUT,Domestic,2024,Sep,Madinah,428,53674
OUT,Domestic,2024,Sep,Najran,180,25793
OUT,Domestic,2024,Sep,NEOM,39,3888
OUT,Domestic,2024,Sep,Qassim,63,6456
OUT,Domestic,2024,Sep,Qurayyat,67,7437
OUT,Domestic,2024,Sep,Rafha,26,3256
OUT,Domestic,2024,Sep,Red Sea,17,2328
OUT,Domestic,2024,Sep,Sharurah,41,5533
OUT,Domestic,2024,Sep,Tabuk,280,36544
OUT,Domestic,2024,Sep,Taif,219,28856
OUT,Domestic,2024,Sep,Turaif,25,2901
OUT,Domestic,2024,Sep,WADI AL-DAWASER,30,4016
OUT,Domestic,2024,Sep,Yenbo,52,5618
IN,Domestic,2024,Oct,Riyadh,5756,843971
OUT,Domestic,2024,Oct,Jeddah,1938,326877
OUT,Domestic,2024,Oct,Abha,609,82997
OUT,Domestic,2024,Oct,Najran,207,29182
OUT,Domestic,2024,Oct,Dammam,615,73903
OUT,Domestic,2024,Oct,Madinah,441,65197
OUT,Domestic,2024,Oct,Jizan,396,52265
OUT,Domestic,2024,Oct,Hail,154,22387
OUT,Domestic,2024,Oct,Yenbo,55,7422
OUT,Domestic,2024,Oct,Tabuk,314,39589
OUT,Domestic,2024,Oct,Al-Jawf,142,18515
OUT,Domestic,2024,Oct,Arar,92,13430
OUT,Domestic,2024,Oct,Taif,225,31769
OUT,Domestic,2024,Oct,Hafr Al-batin,62,9232
OUT,Domestic,2024,Oct,Sharurah,45,6324
OUT,Domestic,2024,Oct,Al-Bahah,62,8320
OUT,Domestic,2024,Oct,Qurayyat,62,8816
OUT,Domestic,2024,Oct,NEOM,39,4247
OUT,Domestic,2024,Oct,Bisha,80,10954
OUT,Domestic,2024,Oct,Qassim,69,7156
OUT,Domestic,2024,Oct,Al-Ula,34,5366
OUT,Domestic,2024,Oct,Turaif,27,3640
OUT,Domestic,2024,Oct,Red Sea,18,2667
OUT,Domestic,2024,Oct,Rafha,27,3784
OUT,Domestic,2024,Oct,WADI AL-DAWASER,31,4492
OUT,Domestic,2024,Oct,Dawadmi,9,607
IN,Domestic ,2024,Nov,Riyadh,5879,902863
OUT,Domestic ,2024,Nov,Abha,630,95284
OUT,Domestic ,2024,Nov,Al-Ahsa,11,426
OUT,Domestic ,2024,Nov,Al-Bahah,60,8761
OUT,Domestic ,2024,Nov,Al-Jawf,132,18185
OUT,Domestic ,2024,Nov,Al-Ula,50,7736
OUT,Domestic ,2024,Nov,Arar,102,13914
OUT,Domestic ,2024,Nov,Bisha,77,10995
OUT,Domestic ,2024,Nov,Dammam,636,79257
OUT,Domestic ,2024,Nov,Dawadmi,9,871
OUT,Domestic ,2024,Nov,Hafr Al-batin,74,10206
OUT,Domestic ,2024,Nov,Hail,141,20858
OUT,Domestic ,2024,Nov,Jeddah,1964,333505
OUT,Domestic ,2024,Nov,Jizan,374,55754
OUT,Domestic ,2024,Nov,Madinah,486,71787
OUT,Domestic ,2024,Nov,Najran,214,30267
OUT,Domestic ,2024,Nov,NEOM,34,4212
OUT,Domestic ,2024,Nov,Qassim,60,7073
OUT,Domestic ,2024,Nov,Qurayyat,60,8509
OUT,Domestic ,2024,Nov,Rafha,25,3446
OUT,Domestic ,2024,Nov,Red Sea,17,2615
OUT,Domestic ,2024,Nov,Sharurah,43,6291
OUT,Domestic ,2024,Nov,Tabuk,334,44755
OUT,Domestic ,2024,Nov,Taif,235,33242
OUT,Domestic ,2024,Nov,Turaif,30,3732
OUT,Domestic ,2024,Nov,WADI AL-DAWASER,30,4381
OUT,Domestic ,2024,Nov,Yenbo,50,6694
IN,Domestic ,2024,Dec,Riyadh,5900,890992
OUT,Domestic ,2024,Dec,Abha,614,88368
OUT,Domestic ,2024,Dec,Al-Ahsa,13,408
OUT,Domestic ,2024,Dec,Al-Bahah,62,8375
OUT,Domestic ,2024,Dec,Al-Jawf,143,18152
OUT,Domestic ,2024,Dec,Al-Ula,50,8723
OUT,Domestic ,2024,Dec,Arar,105,14149
OUT,Domestic ,2024,Dec,Bisha,80,10665
OUT,Domestic ,2024,Dec,Dammam,620,80040
OUT,Domestic ,2024,Dec,Dawadmi,8,594
OUT,Domestic ,2024,Dec,Hafr Al-batin,68,9533
OUT,Domestic ,2024,Dec,Hail,152,20566
OUT,Domestic ,2024,Dec,Jeddah,1948,346305
OUT,Domestic ,2024,Dec,Jizan,384,56719
OUT,Domestic ,2024,Dec,Madinah,488,76955
OUT,Domestic ,2024,Dec,Najran,215,29257
OUT,Domestic ,2024,Dec,NEOM,35,3010
OUT,Domestic ,2024,Dec,Qassim,63,6980
OUT,Domestic ,2024,Dec,Qurayyat,52,7382
OUT,Domestic ,2024,Dec,Rafha,27,3660
OUT,Domestic ,2024,Dec,Red Sea,18,2687
OUT,Domestic ,2024,Dec,Sharurah,44,6333
OUT,Domestic ,2024,Dec,Tabuk,341,41939
OUT,Domestic ,2024,Dec,Taif,248,33386
OUT,Domestic ,2024,Dec,Turaif,30,3748
OUT,Domestic ,2024,Dec,WADI AL-DAWASER,31,4450
OUT,Domestic ,2024,Dec,Yenbo,54,7081
IN,Domestic,2025,Jan,Riyadh,5762,898539
OUT,Domestic,2025,Jan,Jizan,374,55443
OUT,Domestic,2025,Jan,Najran,243,30693
OUT,Domestic,2025,Jan,Jeddah,1923,334245
OUT,Domestic,2025,Jan,Dammam,584,82018
OUT,Domestic,2025,Jan,Madinah,475,73045
OUT,Domestic,2025,Jan,Hail,152,22121
OUT,Domestic,2025,Jan,Abha,609,96198
OUT,Domestic,2025,Jan,Yenbo,53,6600
OUT,Domestic,2025,Jan,Tabuk,319,43025
OUT,Domestic,2025,Jan,Taif,220,32233
OUT,Domestic,2025,Jan,Al-Jawf,140,19018
OUT,Domestic,2025,Jan,Arar,101,13757
OUT,Domestic,2025,Jan,Hafr Al-batin,67,9547
OUT,Domestic,2025,Jan,Sharurah,44,6644
OUT,Domestic,2025,Jan,Al-Bahah,62,8218
OUT,Domestic,2025,Jan,Qurayyat,48,6995
OUT,Domestic,2025,Jan,Bisha,80,11287
OUT,Domestic,2025,Jan,Qassim,62,7205
OUT,Domestic,2025,Jan,Turaif,27,3651
OUT,Domestic,2025,Jan,Rafha,26,3631
OUT,Domestic,2025,Jan,WADI AL-DAWASER,29,4213
OUT,Domestic,2025,Jan,NEOM,35,3394
OUT,Domestic,2025,Jan,Al-Ula,44,7863
OUT,Domestic,2025,Jan,Dawadmi,9,773
OUT,Domestic,2025,Jan,Red Sea,17,2434
OUT,Domestic,2025,Jan,Al-Ahsa,13,597
IN,Domestic ,2025,Feb,Riyadh,4918,767246
OUT,Domestic ,2025,Feb,Abha,516,84005
OUT,Domestic ,2025,Feb,Al-Ahsa,12,517
OUT,Domestic ,2025,Feb,Al-Bahah,56,7669
OUT,Domestic ,2025,Feb,Al-Jawf,126,16823
OUT,Domestic ,2025,Feb,Al-Ula,31,5531
OUT,Domestic ,2025,Feb,Arar,94,13115
OUT,Domestic ,2025,Feb,Bisha,69,9250
OUT,Domestic ,2025,Feb,Dammam,463,64612
OUT,Domestic ,2025,Feb,Dawadmi,8,628
OUT,Domestic ,2025,Feb,Hafr Al-batin,62,8708
OUT,Domestic ,2025,Feb,Hail,130,18277
OUT,Domestic ,2025,Feb,Jeddah,1700,304305
OUT,Domestic ,2025,Feb,Jizan,324,47406
OUT,Domestic ,2025,Feb,Madinah,414,69364
OUT,Domestic ,2025,Feb,Najran,194,26790
OUT,Domestic ,2025,Feb,NEOM,33,3228
OUT,Domestic ,2025,Feb,Qassim,52,5946
OUT,Domestic ,2025,Feb,Qurayyat,28,4503
OUT,Domestic ,2025,Feb,Rafha,20,2855
OUT,Domestic ,2025,Feb,Red Sea,16,2399
OUT,Domestic ,2025,Feb,Sharurah,40,5784
OUT,Domestic ,2025,Feb,Tabuk,245,35516
OUT,Domestic ,2025,Feb,Taif,190,27033
OUT,Domestic ,2025,Feb,Turaif,24,3530
OUT,Domestic ,2025,Feb,WADI AL-DAWASER,28,3911
OUT,Domestic ,2025,Feb,Yenbo,46,5920
IN,Domestic ,2025,Mar,Riyadh,5484,726014
OUT,Domestic ,2025,Mar,Taif,270,39804
OUT,Domestic ,2025,Mar,Najran,201,24560
OUT,Domestic ,2025,Mar,Dammam,419,48882
OUT,Domestic ,2025,Mar,Jeddah,2217,395992
OUT,Domestic ,2025,Mar,Jizan,333,48236
OUT,Domestic ,2025,Mar,Hail,126,15831
OUT,Domestic ,2025,Mar,Madinah,504,78609
OUT,Domestic ,2025,Mar,Abha,456,75035
OUT,Domestic ,2025,Mar,Tabuk,242,29909
OUT,Domestic ,2025,Mar,Arar,83,10877
OUT,Domestic ,2025,Mar,Hafr Al-batin,57,7945
OUT,Domestic ,2025,Mar,Sharurah,37,5065
OUT,Domestic ,2025,Mar,Al-Jawf,112,14081
OUT,Domestic ,2025,Mar,Red Sea,19,2211
OUT,Domestic ,2025,Mar,Bisha,69,9305
OUT,Domestic ,2025,Mar,Qassim,49,5352
OUT,Domestic ,2025,Mar,Turaif,23,2953
OUT,Domestic ,2025,Mar,NEOM,36,2773
OUT,Domestic ,2025,Mar,Dawadmi,9,893
OUT,Domestic ,2025,Mar,Rafha,27,3157
OUT,Domestic ,2025,Mar,WADI AL-DAWASER,26,3635
OUT,Domestic ,2025,Mar,Al-Bahah,57,7980
OUT,Domestic ,2025,Mar,Yenbo,46,5280
OUT,Domestic ,2025,Mar,Al-Ula,28,3992
OUT,Domestic ,2025,Mar,Qurayyat,41,5853
IN,Domestic,2025,Apr,Riyadh,5758,923109
OUT,Domestic,2025,Apr,Abha,623,84764
OUT,Domestic,2025,Apr,Al-Bahah,60,6955
OUT,Domestic,2025,Apr,Al-Jawf,137,15236
OUT,Domestic,2025,Apr,Al-Ula,37,5872
OUT,Domestic,2025,Apr,Arar,132,14966
OUT,Domestic,2025,Apr,Bisha,82,9225
OUT,Domestic,2025,Apr,Dammam,510,72130
OUT,Domestic,2025,Apr,Dawadmi,8,510
OUT,Domestic,2025,Apr,Hafr Al-batin,73,10196
OUT,Domestic,2025,Apr,Hail,149,19177
OUT,Domestic,2025,Apr,Jeddah,1921,274014
OUT,Domestic,2025,Apr,Jizan,398,45600
OUT,Domestic,2025,Apr,Madinah,474,57458
OUT,Domestic,2025,Apr,Najran,202,26867
OUT,Domestic,2025,Apr,NEOM,38,3593
OUT,Domestic,2025,Apr,Qassim,60,5824
OUT,Domestic,2025,Apr,Qurayyat,102,9281
OUT,Domestic,2025,Apr,Rafha,26,3220
OUT,Domestic,2025,Apr,Red Sea,22,2842
OUT,Domestic,2025,Apr,Sharurah,42,6277
OUT,Domestic,2025,Apr,Tabuk,331,40690
OUT,Domestic,2025,Apr,Taif,213,25658
OUT,Domestic,2025,Apr,Turaif,30,3418
OUT,Domestic,2025,Apr,WADI AL-DAWASER,30,4016
OUT,Domestic,2025,Apr,Yenbo,52,5324
IN,Domestic,2025,May,Riyadh,6090,820137
OUT,Domestic,2025,May,Abha,620,98051
OUT,Domestic,2025,May,Al-Bahah,73,9874
OUT,Domestic,2025,May,Al-Jawf,135,18159
OUT,Domestic,2025,May,Al-Ula,35,4884
OUT,Domestic,2025,May,Arar,136,18134
OUT,Domestic,2025,May,Bisha,80,11050
OUT,Domestic,2025,May,Dammam,535,75927
OUT,Domestic,2025,May,Dawadmi,10,999
OUT,Domestic,2025,May,Hafr Al-batin,78,11246
OUT,Domestic,2025,May,Hail,160,22104
OUT,Domestic,2025,May,Jeddah,2009,338272
OUT,Domestic,2025,May,Jizan,403,55510
OUT,Domestic,2025,May,Madinah,507,74567
OUT,Domestic,2025,May,Najran,207,30739
OUT,Domestic,2025,May,NEOM,46,3535
OUT,Domestic,2025,May,Qassim,62,7355
OUT,Domestic,2025,May,Qurayyat,111,13913
OUT,Domestic,2025,May,Rafha,31,4122
OUT,Domestic,2025,May,Red Sea,26,3511
OUT,Domestic,2025,May,Sharurah,46,6619
OUT,Domestic,2025,May,Tabuk,342,44234
OUT,Domestic,2025,May,Taif,249,33579
OUT,Domestic,2025,May,Turaif,31,3953
OUT,Domestic,2025,May,WADI AL-DAWASER,31,4534
OUT,Domestic,2025,May,Yenbo,52,6263
IN,Domestic,2025,Jun,Riyadh,5702,761625
OUT,Domestic,2025,Jun,Abha,618,97551
OUT,Domestic,2025,Jun,Al-Bahah,97,11389
OUT,Domestic,2025,Jun,Al-Jawf,134,13993
OUT,Domestic,2025,Jun,Al-Ula,17,2832
OUT,Domestic,2025,Jun,Arar,130,15421
OUT,Domestic,2025,Jun,Bisha,78,9522
OUT,Domestic,2025,Jun,Dammam,514,63490
OUT,Domestic,2025,Jun,Dawadmi,8,691
OUT,Domestic,2025,Jun,Hafr Al-batin,69,9261
OUT,Domestic,2025,Jun,Hail,148,18758
OUT,Domestic,2025,Jun,Jeddah,1975,295265
OUT,Domestic,2025,Jun,Jizan,345,44544
OUT,Domestic,2025,Jun,Madinah,474,54582
OUT,Domestic,2025,Jun,Najran,198,26555
OUT,Domestic,2025,Jun,NEOM,38,2553
OUT,Domestic,2025,Jun,Qassim,59,5856
OUT,Domestic,2025,Jun,Qurayyat,107,14124
OUT,Domestic,2025,Jun,Rafha,26,3263
OUT,Domestic,2025,Jun,Red Sea,26,2987
OUT,Domestic,2025,Jun,Sharurah,42,5696
OUT,Domestic,2025,Jun,Tabuk,322,37711
OUT,Domestic,2025,Jun,Taif,220,29250
OUT,Domestic,2025,Jun,Turaif,29,3171
OUT,Domestic,2025,Jun,WADI AL-DAWASER,30,3657
OUT,Domestic,2025,Jun,Yenbo,51,5116
IN,Domestic,2025,Jul,Riyadh,6012,921116
OUT,Domestic,2025,Jul,Abha,707,138127
OUT,Domestic,2025,Jul,Al-Bahah,106,16836
OUT,Domestic,2025,Jul,Al-Jawf,142,18525
OUT,Domestic,2025,Jul,Al-Ula,18,3387
OUT,Domestic,2025,Jul,Arar,138,18835
OUT,Domestic,2025,Jul,Bisha,80,12442
OUT,Domestic,2025,Jul,Dammam,497,67758
OUT,Domestic,2025,Jul,Dawadmi,9,993
OUT,Domestic,2025,Jul,Hafr Al-batin,75,11236
OUT,Domestic,2025,Jul,Hail,159,23679
OUT,Domestic,2025,Jul,Jeddah,1954,382399
OUT,Domestic,2025,Jul,Jizan,393,59417
OUT,Domestic,2025,Jul,Madinah,507,77562
OUT,Domestic,2025,Jul,Najran,205,32256
OUT,Domestic,2025,Jul,NEOM,45,3183
OUT,Domestic,2025,Jul,Qassim,62,7585
OUT,Domestic,2025,Jul,Qurayyat,111,16310
OUT,Domestic,2025,Jul,Rafha,28,3909
OUT,Domestic,2025,Jul,Red Sea,27,3247
OUT,Domestic,2025,Jul,Sharurah,45,7004
OUT,Domestic,2025,Jul,Tabuk,333,41693
OUT,Domestic,2025,Jul,Taif,260,41026
OUT,Domestic,2025,Jul,Turaif,31,4089
OUT,Domestic,2025,Jul,WADI AL-DAWASER,31,4552
OUT,Domestic,2025,Jul,Yenbo,55,5890
IN,Domestic,2025,Aug,Riyadh,6027,1025600
OUT,Domestic,2025,Aug,Abha,703,115664
OUT,Domestic,2025,Aug,Aljouf,142,18232
OUT,Domestic,2025,Aug,Alola,18,3445
OUT,Domestic,2025,Aug,Arar,136,19674
OUT,Domestic,2025,Aug,Bisha,83,9943
OUT,Domestic,2025,Aug,Dammam,500,75027
OUT,Domestic,2025,Aug,Dawadmi,9,818
OUT,Domestic,2025,Aug,Al-Bahah,95,12102
OUT,Domestic,2025,Aug,Gassim,62,7979
OUT,Domestic,2025,Aug,Gizan,383,52802
OUT,Domestic,2025,Aug,Guriat,111,11455
OUT,Domestic,2025,Aug,Hafr Al-batin,75,12003
OUT,Domestic,2025,Aug,Hail,159,23050
OUT,Domestic,2025,Aug,Jeddah,1998,318639
OUT,Domestic,2025,Aug,Madinah,495,68349
OUT,Domestic,2025,Aug,NEOM,33,3339
OUT,Domestic,2025,Aug,Najran,203,29263
OUT,Domestic,2025,Aug,Rafha,26,3976
OUT,Domestic,2025,Aug,Red Sea,27,3058
OUT,Domestic,2025,Aug,Sharurah,44,6609
OUT,Domestic,2025,Aug,Tabuk,336,43519
OUT,Domestic,2025,Aug,Taif,254,35418
OUT,Domestic,2025,Aug,Turaif,31,3827
OUT,Domestic,2025,Aug,WADI AL-DAWASER,31,4432
OUT,Domestic,2025,Aug,Yenbo,52,5900
IN,Domestic,2025,Sep,Riyadh,5799,846548
OUT,Domestic,2025,Sep,Abha,623,86292
OUT,Domestic,2025,Sep,Aljouf,140,17150
OUT,Domestic,2025,Sep,Alola,36,5127
OUT,Domestic,2025,Sep,Arar,131,17096
OUT,Domestic,2025,Sep,Bisha,77,9118
OUT,Domestic,2025,Sep,Dammam,486,68953
OUT,Domestic,2025,Sep,Dawadmi,8,615
OUT,Domestic,2025,Sep,Al-Bahah,77,8489
OUT,Domestic,2025,Sep,Gassim,60,7035
OUT,Domestic,2025,Sep,Gizan,343,44364
OUT,Domestic,2025,Sep,Guriat,106,11156
OUT,Domestic,2025,Sep,Hafr Al-batin,73,11166
OUT,Domestic,2025,Sep,Hail,167,22994
OUT,Domestic,2025,Sep,Jeddah,1960,298162
OUT,Domestic,2025,Sep,Madinah,496,66055
OUT,Domestic,2025,Sep,NEOM,35,2914
OUT,Domestic,2025,Sep,Najran,205,27805
OUT,Domestic,2025,Sep,Rafha,26,3748
OUT,Domestic,2025,Sep,Red Sea,26,3312
OUT,Domestic,2025,Sep,Sharurah,43,6238
OUT,Domestic,2025,Sep,Tabuk,309,37053
OUT,Domestic,2025,Sep,Taif,262,33133
OUT,Domestic,2025,Sep,Turaif,30,3753
OUT,Domestic,2025,Sep,WADI AL-DAWASER,30,4145
OUT,Domestic,2025,Sep,Yenbo,52,5973
IN,Domestic,2025,Oct,Riyadh,6098,913887
OUT,Domestic,2025,Oct,Abha,636,93289
OUT,Domestic,2025,Oct,Al-Bahah,73,8836
OUT,Domestic,2025,Oct,Aljouf,146,19428
OUT,Domestic,2025,Oct,Alola,47,6673
OUT,Domestic,2025,Oct,Arar,131,17309
OUT,Domestic,2025,Oct,Bisha,80,10294
OUT,Domestic,2025,Oct,Dammam,567,83714
OUT,Domestic,2025,Oct,Dawadmi,9,805
OUT,Domestic,2025,Oct,Gassim,63,7496
OUT,Domestic,2025,Oct,Gizan,376,50466
OUT,Domestic,2025,Oct,Guriat,105,12944
OUT,Domestic,2025,Oct,Hafr Al-batin,73,10909
OUT,Domestic,2025,Oct,Hail,187,26325
OUT,Domestic,2025,Oct,Jeddah,2021,346346
OUT,Domestic,2025,Oct,Madinah,518,76937
OUT,Domestic,2025,Oct,NEOM,35,2756
OUT,Domestic,2025,Oct,Najran,213,29808
OUT,Domestic,2025,Oct,Rafha,26,3857
OUT,Domestic,2025,Oct,Red Sea,27,3472
OUT,Domestic,2025,Oct,Sharurah,44,6186
OUT,Domestic,2025,Oct,Tabuk,324,41290
OUT,Domestic,2025,Oct,Taif,266,34942
OUT,Domestic,2025,Oct,Turaif,30,3943
OUT,Domestic,2025,Oct,WADI AL-DAWASER,31,4421
OUT,Domestic,2025,Oct,Yenbo,53,6502
IN,Domestic,2025,Nov,Riyadh,6057,962396
OUT,Domestic,2025,Nov,Abha,588,91701
OUT,Domestic,2025,Nov,Al-Bahah,68,8761
OUT,Domestic,2025,Nov,Aljouf,163,22598
OUT,Domestic,2025,Nov,Alola,51,8131
OUT,Domestic,2025,Nov,Arar,130,17871
OUT,Domestic,2025,Nov,Bisha,84,11156
OUT,Domestic,2025,Nov,Dammam,575,84136
OUT,Domestic,2025,Nov,Dawadmi,9,986
OUT,Domestic,2025,Nov,Gassim,60,7622
OUT,Domestic,2025,Nov,Gizan,394,55955
OUT,Domestic,2025,Nov,Guriat,103,13414
OUT,Domestic,2025,Nov,Hafr Al-batin,60,9561
OUT,Domestic,2025,Nov,Hail,180,26860
OUT,Domestic,2025,Nov,Jeddah,2064,361678
OUT,Domestic,2025,Nov,Madinah,479,72117
OUT,Domestic,2025,Nov,NEOM,36,3340
OUT,Domestic,2025,Nov,Najran,223,31294
OUT,Domestic,2025,Nov,Rafha,26,4024
OUT,Domestic,2025,Nov,Red Sea,30,4249
OUT,Domestic,2025,Nov,Sharurah,60,7409
OUT,Domestic,2025,Nov,Tabuk,322,43983
OUT,Domestic,2025,Nov,Taif,254,36429
OUT,Domestic,2025,Nov,Turaif,26,3541
OUT,Domestic,2025,Nov,WADI AL-DAWASER,33,4945
OUT,Domestic,2025,Nov,Yenbo,51,6813
IN,Domestic,2025,Dec,Riyadh,6311,928515
OUT,Domestic,2025,Dec,Abha,616,91241
OUT,Domestic,2025,Dec,Al-Bahah,72,8583
OUT,Domestic,2025,Dec,Aljouf,179,22101
OUT,Domestic,2025,Dec,Alola,50,8638
OUT,Domestic,2025,Dec,Arar,131,17605
OUT,Domestic,2025,Dec,Bisha,80,10673
OUT,Domestic,2025,Dec,Dammam,589,78105
OUT,Domestic,2025,Dec,Dawadmi,8,588
OUT,Domestic,2025,Dec,Gassim,57,6634
OUT,Domestic,2025,Dec,Gizan,426,57343
OUT,Domestic,2025,Dec,Guriat,104,12686
OUT,Domestic,2025,Dec,Hafr Al-batin,58,8654
OUT,Domestic,2025,Dec,Hail,182,24978
OUT,Domestic,2025,Dec,Jeddah,2126,359695
OUT,Domestic,2025,Dec,Madinah,501,76583
OUT,Domestic,2025,Dec,NEOM,40,2209
OUT,Domestic,2025,Dec,Najran,245,32183
OUT,Domestic,2025,Dec,Rafha,27,4036
OUT,Domestic,2025,Dec,Red Sea,30,3726
OUT,Domestic,2025,Dec,Sharurah,60,8534
OUT,Domestic,2025,Dec,Tabuk,335,42907
OUT,Domestic,2025,Dec,Taif,279,35153
OUT,Domestic,2025,Dec,Turaif,26,3101
OUT,Domestic,2025,Dec,WADI AL-DAWASER,29,4313
OUT,Domestic,2025,Dec,Yenbo,53,7350
IN,Domestic,2026,Jan,Riyadh,6439,1011098
OUT,Domestic,2026,Jan,Abha,627,98991
OUT,Domestic,2026,Jan,Al-Bahah,106,12077
OUT,Domestic,2026,Jan,Aljouf,172,23493
OUT,Domestic,2026,Jan,Alola,59,10363
OUT,Domestic,2026,Jan,Arar,131,18082
OUT,Domestic,2026,Jan,Bisha,113,13992
OUT,Domestic,2026,Jan,Dammam,589,83659
OUT,Domestic,2026,Jan,Dawadmi,10,1123
OUT,Domestic,2026,Jan,Gassim,61,7894
OUT,Domestic,2026,Jan,Gizan,426,60139
OUT,Domestic,2026,Jan,Guriat,106,14079
OUT,Domestic,2026,Jan,Hafr Al-batin,69,10489
OUT,Domestic,2026,Jan,Hail,186,26692
OUT,Domestic,2026,Jan,Jeddah,2151,372208
OUT,Domestic,2026,Jan,Madinah,493,74658
OUT,Domestic,2026,Jan,NEOM,36,3242
OUT,Domestic,2026,Jan,Najran,248,34204
OUT,Domestic,2026,Jan,Rafha,27,4237
OUT,Domestic,2026,Jan,Red Sea,32,4190
OUT,Domestic,2026,Jan,Sharurah,62,8761
OUT,Domestic,2026,Jan,Tabuk,340,47125
OUT,Domestic,2026,Jan,Taif,279,37858
OUT,Domestic,2026,Jan,Turaif,27,3644
OUT,Domestic,2026,Jan,WADI AL-DAWASER,35,4915
OUT,Domestic,2026,Jan,Yenbo,52,7264
IN,Domestic,2026,Feb,Riyadh,5670,789520
OUT,Domestic,2026,Feb,Abha,506,74012
OUT,Domestic,2026,Feb,Al-Bahah,91,9912
