Side,Type,Year,Month,DESTINATION City,Total of Flights,Total of Passengers
OUT,Domestic,2021,Jul,Al-Bahah,93,9785
OUT,Domestic,2021,Jul,"	Qassim",62,5106
OUT,Domestic,2021,Jul,Jizan,398,35915
OUT,Domestic,2021,Jul,Qurayyat,61,6145
OUT,Domestic,2021,Jul,Hafr Al-batin,75,6876
OUT,Domestic,2021,Jul,Hail,154,12960
OUT,Domestic,2021,Jul,Jeddah,1329,151473
OUT,Domestic,2021,Jul,Madinah,287,26755
OUT,Domestic,2021,Jul,Najran,119,10584
OUT,Domestic,2021,Jul,Rafha,31,2904
OUT,Domestic,2021,Jul,Sharurah,40,3816
OUT,Domestic,2021,Jul,Tabuk,229,22026
OUT,Domestic,2021,Jul,Taif,215,21395
OUT,Domestic,2021,Jul,Turaif,29,2545
OUT,Domestic,2021,Jul,WADI AL-DAWASER,30,2678
OUT,Domestic,2021,Jul,Al Wajh,9,670
OUT,Domestic,2021,Jul,Yenbo,48,3576
IN,Domestic,2021,Aug,Riyadh,4492,508587
OUT,Domestic,2021,Aug,Abha,596,54875
OUT,Domestic,2021,Aug,Al-Jawf,124,11432
OUT,Domestic,2021,Aug,Al-Ula,18,1163
OUT,Domestic,2021,Aug,Arar,80,8109
OUT,Domestic,2021,Aug,Bisha,86,6889
OUT,Domestic,2021,Aug,Dammam,412,40702
OUT,Domestic,2021,Aug,Al-Bahah,94,6415
OUT,Domestic,2021,Aug,"	Qassim",62,4821
OUT,Domestic,2021,Aug,Jizan,402,31047
OUT,Domestic,2021,Aug,Qurayyat,62,4961
OUT,Domestic,2021,Aug,Hafr Al-batin,74,7109
OUT,Domestic,2021,Aug,Hail,161,12352
OUT,Domestic,2021,Aug,Jeddah,1301,154686
OUT,Domestic,2021,Aug,Madinah,274,25489
OUT,Domestic,2021,Aug,Najran,119,10776
OUT,Domestic,2021,Aug,Rafha,31,2666
OUT,Domestic,2021,Aug,Sharurah,45,3596
OUT,Domestic,2021,Aug,Tabuk,217,21505
OUT,Domestic,2021,Aug,Taif,216,18655
OUT,Domestic,2021,Aug,Turaif,26,2225
